fr,en
apres ca je pense que le seul a pouvoir y aller c est sunny etant donne qu il peut devenir une ombre et en plus de haut niveau il peut ce faufiler lors de la bataille dans le desert et s infiltrer pendant la bataille jusquau tombeau,after that i think that the only one that can go there is sunny and so that it can become a shadow and in addition to high level it can sneak in the battle in the desert and infiltrate during the battle to the tomb
mais le briseur de chaine est la-bas donc soit il y est alle seul avec soit ils y sont tous aller et pour une raison ou une autre seul sunny etait encore la,but the chain breaker is down there so either there is alone with or they are all going there and for one reason or another sunny was still the
mais il y est peut-etre aller seul etant donne que les autres membre de la cohorte ont pas l'air present,but it may be going alone as other cohort members do not seem to be present
oui le sunny futur du tombeau est au moins un souverain,yes the future sunny of the tomb is at least a sovereign
apres je sais plus si ils repartent au tombeau en tant que souverain justement car si je me souvien sunny decrivez l autre sunny comme insondables alors quil avais deja cotoyer pas mal de saint,after that i know more if they go back to the tomb as sovereign precisely because if i remember sunny describe the other sunny as unfathomable when he had already contributed a lot of saint
en plus ils ont pas trop le temps la,plus they do not have too much time
et si leur default est pas impactant au combat ca aurait servi a rien,and if their fault was not impacting the fight it would have been useless
le seul qui serait dangereux c'est asterion,the only one that would be dangerous is asterion
oui hors de leurs domaine mais connaitre leurs defaut reste la chose la plus safe,yes out of their domain but knowing their fault remains the safest thing
dans leur domaine oui ca sert a rien de les combattre mais en dehors c'est largement faisable pour nephis si elle devient supreme,in their field yes it is no use fighting them but outside it is largely feasible for nephis if it becomes supreme
les souverains sont pas si puissant non plus hors de leur domaine,the sovereigns are not so powerful either out of their domain
on parle d entite bcp trop puissante actuellement et meme si ils deviennent souverain je vois mal gagner sans perte alors il leurs faut connaitre leurs defaut,we talk about bcp entity too powerful now and even if they become sovereign i see bad winning without loss so they need to know their default
j'ai pas compris ce que tu voulais dire,i did not understand what you meant
la je suis au meme moment que vous dans le serv,i am at the same time as you in the serv
jpense que cest plus risque de retourner dans le tombeau que de se battre contre les souverains sans connaitre leur defaut,i think it is more likely to go back to the tomb than to fight the sovereigns without knowing their fault
quel tombeau le tombeau d'ariel tu en es ou,what grave the tomb of ariel you are or
ou alors un truc pour connaitre asterion,or something to know asterion
et j ai une theorie sur la raison de la venu de sunny et neph au tombeau qui est l obtention de la connaissance des defaut des souverains,and i have a theory about the reason for the coming of sunny and neph to the tomb which is obtaining the knowledge of the defaults of the sovereigns
anemone c est l ile du you tout ce repete en boucle c est ca,anemone c is the island of you all this loop repete c is ca
ouais un de mes moments preferer du tome,yeah one of my favorite moments from the volume
bordel quel pepite l'arc anemone,what the hell is the anemone bow
comprehensible on veut tous le voire mais je le vois mal spawn mtn,understanding we all want to see it but i do not see it spawn mtn
de toute facon c'est nul d'essayer de mesurer le qi des gens ca sert a rien,anyway it sucks to try to measure people's qi it is useless
mais on voit a sa maniere d'aborder le combat plus instinctive que nephis elle doit avoir plus de qi elle est revenue au base et tout,but we see her way of approaching the fight more instinctive than nephis she must have more qi she has returned to the base and everything
avec les clones qui font des activites differenterentes,with clones that do different activities
c'est comme meme fou tous de qu'il fait,it is like he is all crazy
oui son qi doit etre relativement eleve,yes his qi must be relatively high
c'est pas parce qu'il a de la memoire et tout qu'il a bcp de qi,it is not because he has memory and everything he has
en vrai sunny il a cmb de qi a votre avis pour moi son cerveau il doit etre enorme avec les clones et le sens de l'ombre,in real sunny he has cmb de qi in your opinion for me his brain he must be enormous with clones and the sense of shadow
ou alors une catastrophe comme l'annonce de l'apparition d'une porte d'un niveau jamais vu dans le monde reel,or a catastrophe like the announcement of the appearance of a door of a level never seen in the real world
je vois bien l'arrivee des forces de valor a la forteresse,i can see the arrival of valor forces at the fortress
en vrai pourquoi pas un debut de guerre ou au moins l'annonce,why not start war or at least announce
nom du v game of throne,name of v game of throne
un truc assez chill mais qui impacte quand meme,something pretty chilly but that still impacts
ca va juste finir sur le debut de la guerre,it is just going to end on the start of the war
je m'attends plus a une fin a l'image du volume,i expect more at an end to the image of volume
si on est realiste,if we are realistic
en vrai oui,in true yes
avec des super apparitions de jsp quoi,with super appearances of jsp what
je pense pas qu'il va y avoir une fin spectaculaire de fou,i do not think there is going to be a spectacular crazy ending
ptdrrrrrr,ptdrrrrrr
ca fait trop le mec qui a lu les chap vo c'est une dinguerie shibalaugh,that is too much the guy who read the chaps you is a shibalaugh crazy
on en reparle dans chap shibalaugh,we talk about it again in chap shibalagh
ptet mais j'ai envie de voir asterion donc j'ai raison,but i want to see asterion so i am right
bcp trop precipite,bcp too precipitous
y'a rien de mieux pour finir le tome,there is nothing better to finish the volume
jpense que ca se finit sur une mini ellipse into debut de la bataille et apparition d'asterion,i think it ends on a mini ellipse into the beginning of the battle and appearance of asterion
forcement,forcedly
apres le reste jsp un autre date avec morgan comme sa on a de la rivalite pour neph,after the rest jsp another date with morgan as its one has rivalite for neph
rain eveille et debut de la guerre je pense,groove awakens and beginning of war i think
wesh fin du volume sa veut dire ya des dinguerie qui vont spawn,wesh end volume means ya crazy people going spawn
plus que chapitres avant la fin du volume,more than chapters before the end of the volume
en vrai ya eu plein de nouveaux ces derniers temps,real there is been a lot of new lately
cest vrai que tout ceux qui veulent en discuter sont ici mdr,it is true that everyone who wants to discuss it is here
ahah je vois ca,i see that
ah ca expliquerai tout,that will explain everything
on est tous sur le discord shibalaugh,we are all on the discord shibalaugh
en tout cas javais pas reussi,at least i did not succeed
aucune idee je regarde pas les com mais je crois quon peut plus sinscrire sur le site pour mettre des com dailleurs,no idea i do not look at com but i think we can register more on the site to put in a few words
avant bcp ecrivait des trucs certains a chaque chapitre puis cetait de nouvelle personne mais depuis chapitre environ plus personne,before bcp wrote some stuff some at each chapter then stuffed new person but since chapter about more person
et au fond c'est ca que vous trouvez vraiment frustrant pas le changement de pov,and deep down that is what you find really frustrating not changing pov
jme demandais comment ca se fais quil y ait plus de com sous les chapitres depuis environ chapitres,i asked how it is that there is more com under the chapters from about chapters
et il nous donne envie en mettant en place un petit truc qui nous hype,and he makes us want to put in place a little thing that hypes us
la facon do not il fait ca cest le mieux mais cest trop frustrant quand meme,the way he does it is the best but it is too frustrating when even
il attend toujours que l'evenement soit termine,he is still waiting for the event to be over
ok parfait merci,okay fine thanks
je sais mais cest frustrant quand meme,i know but it is frustrating when it is even
il ping dans,he ping in
g va pas changer de pov a un moment ou il ne se passe rien,g will not change pov at a time when nothing happens
au alentour de h generalement,around h generally
c'est se qui manquais je trouve,it was missing i find
en soit cest bien parce que ca permet de suivre des evenements necessaire mais bon un peu rageant sur le moment i am going to,this is good because it allows you to follow events necessary but good a bit annoying at the moment i am going to
non moi aussi j'adore les changement de pov sa donne tellement plus impact a oeuvre,not me too i love the change of pov its gives so much more impact to work
les changements sont logiques,changes are logical
cest vers quel heure,about what time
jadore le pov je rain,i love the pov i groove
bah nn,bahn
les changements pour suivre les aventures de rain avec tout ce qui se passe a cote ne tembete pas,the changes to follow the adventures of groove with everything that happens next door does not tumblet
jaime bien quand ca change de pov cest cool davoir dautre point de vue juste les moment ou il fait ca,i like it when it changes pov it is cool to have another point of view just when it does that
je suis le seul a ne pas avoir une dent contre les changements de pov,i am the only one not having a tooth against pov changes
mais pareil,but the same
moi hier soir,me last night
httpstenorcomviewwake-up-meme-gif-,httpstenorcomviewwake-up-meme-gif-
en vrai les deux chapitres par jour ca va surtout que gray est assez regu sur l'heure de sorti alors que quand tu attend les chapitre en anglais et que g les sort a h du matin par contre les changement de pov c'est criminel ouais,in real life the two chapters a day it goes above all that gray is pretty reguy on the time of release while when you wait for the chapters in english and g spells them a morning hours instead of the change of pov it is criminal yeah
mais ducoup je vais decouvrir la souffrance d'attendre les chapitres chaque jour avec la nouvelle tendance a changer de narrateur je sens que ca va etre douloureux au debut,but then i am going to discover the pain of waiting for chapters every day with the new trend to change narrator i feel it will be painful at the beginning
l'oeuvre est tellement incroyable y'a que des meilleurs moments ahah,the work is so amazing there is only the best moments ahah
et tu arrives pour les meilleurs moment,and you come for the best time
enfin a jour mamaaaa cetait long,finally to day mamaaaa this long
qu'on pense il est peut-etre deja sacre shibalaugh,that we think it may already be shibalaugh
ah ca c'est sur,that is for sure
yes,yes
tu verras bien,you will see
jimagine que sunny sera saint mais bon je mavance peut etre un peu vite,i guess sunny will be holy but well i may be a little quick
vu le titre du volume,having regard to the title of the volume
oui mais quand jaurais lu le le va mattirer enormement je pense,yeah but when i read it i think i am going to get it
d'ici la le vol sera termine,by the time the flight is over
finit au moins le vol,at least end the flight
ptdrrrrr,ptdrrrrrr
il faut que javance mais jai pas envie de rattraper les derniers chap et attendre chaque jour,i have to go ahead but i do not want to catch up on the last chapter and wait every day
oui cest vrai,yes that is right
c'est le plus mysterieux en tt cas et souvent mystere rime avec force donc ouais a voir,it is the most mysterious in tt case and often mystere rhymes with force so yeah to see
cest surement explique plus tard,that probably explains later
dapres ce que je sais il serait possiblement plus fort que ki et valor car il aurait protege nephis quand elle etait petite,after what i know it might be stronger than ki and valor because he would have protected nephis when she was small
oh que oui,oh yes
il est quand meme intriguant asterion,it is when even intriguing asterion
ils peuvent pas gagner une guerre,they cannot win a war
hmm ils sont donc pas vrmt zn competition avec les grands clan cest pour ca quils ne se font pas la guerre dcp,hmm so they are not vrmt zn competition with the big clan that is why they do not make war dcp
donc ca leur permet de controler les voies maritimes,so it allows them to control the sea lanes
la maison de la nuit sont la car ils sont habiles dans l'eau,the house of the night are there because they are skillful in the water
bientot,soon
asterion il fait sa vie de son cote,asterion he makes his life of his own
ki song pour song,that song for song
et oui y'a anvil pour valor,and yes there is anvil for valor
t'es chap combien,you are on how much
ya que roi des epees et ki,there is that king of thepees and that
et la maison de la nuit ils ont in souverain dcp,and the house of the night they have in sovereign dcp
ils en ont parle a un moment mais jetais pas sur de qui cetait,they talked about it at some point but did not throw it on who it was
ok je vois merci,okay i see thanks
oui supreme pardon,yes supreme forgiveness
y'a personne au rang sacre encore,there is no one in the same rank
rang supreme,highest rank
donc cest juste une personne qui rang sacre cest ca,so it is just a person who is rank-in-law that is it
il est souverain d'aucun clan,he is sovereign of no clan
non c'est ki song,no it is that song
de song alors,then
les gars jai une question asterion cest le souverain de la maison de la nuit,guys i have a question asterion it is the ruler of the house of the night
les gars j'ai chap de retard vs pensez que jlis tt de suite ou vaut mieux que jlaisse couler en qq jour,guys i am late chap vs think that jlis tt right now or better than i let go in qq day
faut toujours qu'elle cherche a se demarquer des autres,she always has to try to stand out from others
elle va faire un noyau de sable et un tas d'ame,she is going to make a stone of sand and a pile of soul
ou un noyaux dame au choix,or a lady core of choice
avec plein de grain tu sable et peux faire un tas de sable shibalaugh,with lots of grain you sand and can make a pile of sand shibalaugh
le fameux premier grain de sable,the famous first grain of sand
merci pour les chaps the gray knight,thank you for the chaps the gray night
httpstenorcomviewbatman-gif-,httpstenorcomviewbatman-gif-
cachez vous les enfants gray est revenu chock,hide you kids gray is back shockk
quand le chat n'est pas la les souris dansent,when the cat is not the mice dance
je savais pas que chuck norris avait un lien avec ss,i did not know chuck norris had anything to do with ss
chuck norris c'est weaver,chuck norris is weaver
tu ne destine pas chuck norris c'est lui qui a dessine la tapisserie du destin,you do not want to see chuck norris he is the one who drew the tapestry of destiny
shibalaugh weaver a cree le destin chuck norris le controle,shibalaugh weaver created fate chuck norris controle
chuck norris vs weaver qui gagne,chuck norris vs weaver who wins
tu n'eveilles pas chuck norris sinon il te fait dormir pour l'eternite,you do not wake chuck norris or he makes you sleep for eternity
ya eu chuck norris,there was chuck norris
tout ce quelle a a faire cest seveiller naturellement cest pas si dur ya bien des gens qui ont du le faire dans les derniers millenaires ah bah non,all that has to do is wake up naturally it is not so hard there are many people who had to do it in the last millenaries ah bah no
meme des saints potentiellement,even potential saints
elle a encore un peu de chemin a faire,she still has a little way to go
aussi shibalaugh,also shibalaugh
a son age sunny tuait des tyran dechu,at his age sunny killed fallen tyrants
oh ca va cest juste un tyran eveille shibalaugh a son age sunny il les tuait sans lever le petit doigt shibalaugh shibalaugh,oh it is just a tyrant wakes up shibalaugh at his sunny age he was killing them without lifting his little finger shibalaugh shibalaugh
un chtouille,a ktouille
aie elle est un peu dans la mouise,she is a little in the middle of it
jai limpression que rain a recupere lattribut destin de sunny shibalaugh shibalaugh,i am feeling that rain has recovered the destiny attribute of sunny shibalaugh shibalaugh
techniquement elle pourrait avance jusqua maitre sans trop de difficulte car il faut juste avoir un controle parfait de son essence et de son corps,technically she could advance until master without too much difficulty because you just have to have a perfect control of her essence and body
on verra bien,we will see
bah elle doit avoir la graine donc oui en soit,well she must have the seed so yes
a lepoque le sortilege nenvoyais pas les gens dans des cauchemars,to lepoque the exitlege did not send people into nightmares
vu que jpense a lepoque ou le sortilege est arrive devait deja yavoir genre des maitres et des saints qui ont quand meme pu se rattacher au sortilege,seeing that i think a lepoch or the sortlege is coming already had to be like masters and saints who even when could be attached to the sortlege
oui mais non,yes but no
en soit elle est infecte la non,either she is infected with no
a moins de faire quelque chose de speciale pour se rattacher au sortilege je pense,less to do something special to tie up with the exit leg i think
perso je dirais que non,personal i would say no
jpense que oui mais a voir,i think so but to see
faut voir si on peut le recuperer en cours de route,see if we can get him back along the way
je sais meme pas si elle pourra etre infecte par le sortilege si elle passe pas par le er cauchemar,i do not even know if she will get infected with the exit leg if she does not go through the nightmare
jtrouverai ca un peu con de sa part,i will find it a little stupid from him
jsp si sunny va la garder hors du sortilege elle pourra quasi jamais avancer sinon,jsp if sunny will keep her out of the exit leg she can almost never advance otherwise
rain a le meme tic de langage que son frere damnation il l'a definitivement corrompu,rain has the same language tick as his brother damnation he finally corrupted it
et ceux qui sont trop faibles pour supporter sont voues a mourir,and those who are too weak to bear are willing to die
rendre les forts encore plus forts,making the strong even stronger
c'est un peu le but,that is a little the point
mais en vrai a part le er cauchemars le sortilege a que des avantages,but in real life apart from the nightmares the exitlege has only advantages
ou alors elle sera jamais infecte par le sortilege,or she will never be infected with the spell
peut-etre en vrai je sais pas en tout cas tant quelle est dans le domaine song ca metonnerait peut-etre une fois eveille si elle en sort,maybe in real life i do not know how much is in the song field maybe it would wake up once it comes out
a moins que le sortilege ne se rattache a elle au moment de son eveil,a less than the sortlege connects to her at the time of her elf
jai fait une recherche par mot cle jai pas tout relu,i did a word search and i did not read it all
on connaitra probablement pas laspect et le default de rain avant longtemps du coup,we are probably not going to know the spectator and the fault for a long time
oa tu t'es taper une deter,o you have hit a deter
effectivement tu as raison jai ete verifie,you are right i am checking
peut-etre,maybe
tu me fait douter,you make me doubt
c'est pas quand on devient saint,it is not when you get holy
jespere pas apres comme cest au moment de devenir un maitre quon decouvre son aspectdefault,i do not hope after as it is at the time of becoming a master who discovers his default aspect
si ca se trouve elle va l'avoir seulement dans chap,if it happens she will only have it in chap
jai hate de connaitre le default de rain son aspect aussi je me demande vraiment ce que ca serait,i am really wondering what it would be like
ah nn ici ca marche moins bien,here it works less well
c'est bien la soeur de son frere,she is her brother's sister
le jai menti a la fin est hyper drole aussi,i lied at the end is super funny too
cest bien la syou are de son frere shibalaugh,this is the syou are of his brother shibalaugh
ceux d'ajd,those of ajd
c'est quel chap,that is what chapter
tiens ca me dit quelque chose,here is something to tell me
je rompiche perso,i break up perso
pour moi dans max chaps on passe sur du pov shadow avec les echos de la dispute a travers un pov neph,for me in max chaps we pass on pov shadow with the echoes of the argument through a pov neph
je suis meme pas sur qu'on va avoir la dispute en direct,i am not even sure we are going to have the fight live
en plus jadore les pov de rain,plus jadore les pov de rain
oe mais il maintient la hype tout en nous donnant des nouvelles des autres persos,oe but it keeps the hype while giving us news of other people
je parlais plus de rester dans ce coin la pas forcement sur sunny,i was not talking about staying in that corner not necessarily on sunny
un pov de cassienephis mtn ca aurait ete banger,a pov of cassenephis mtn would have been banked
ca servait a rien de pousser plus sur un pov sunny,it was useless to push more on a pov sunny
bah non le changement mtn est plutot logique,bah no change mtn is rather logical
merci batou,thanks batou
g aime vraiment changer de pov au pire moment,g really likes changing pov at the worst time
jai une question maintenant que le sunny davant nexiste plus es ce quil peut dire quil est mongrel sans et avec le masque de weaver,i have a question now that the sunny before no longer exists is what it can say that it is mongrel without and with the mask of weaver
moi j'aurais plus mis ma piece sur jet,i would not have put my piece on jet anymore
nephis,nephis
vous pensez que c'etait qui la meuf que effie voulait caser avec sunny,you think it was who the girl effie wanted to fit with sunny
pas dans mes souvenir mais elle connait kai,not in my memory but she knows kai
il lui avait aussi appris le tire a l'arc,he also taught her the bow shot
haaaa,haaaa
et archer,and arch
bon bah rain eveille,good bah rain wakes up
sa me foudroye de me dire que sunny et nephis saint si ils sont a cote ils augmentent le contraste comme les philtres photos,his maddened me to tell me that sunny and holy nephis if they are alongside they increase the contrast as the philsteric photos
pas a ce point la non plus mais il etait clairement plus aigris et blase que maintenant,not at this point either but he was clearly more bitter and blase than now
et ca a evolue il evite de tuer sans raison il se sent coupable quand l'integralite de la base militaire se fait buter alors qu'il s'enfuit il fait attention a ses proches,and it is gone he does not want to kill for no reason he feels guilty when the integralite of the military base gets shot while he runs away
oui mais beaucoup moins qu'avant genre quand tu regardes les premiers chapitres il veut vraiment juste regarder tout le monde souffrir il n'a aucune notion du bien et du mal aucune confiance en l'humain et aucune affinite non plus avec l'humain,yes but much less than before when you look at the first chapters he really just wants to look at everyone suffering he has no notion of good and evil no trust in humans and no affinity with humans either
il l'a toujours ete shibalaugh il y a qu'a voir c'est ombre si elles refletent ses principaux traits de caractere y en deux qui vont pas,it is always been shibalaugh there is only to see it is shadow if they reflect its main features of character in two that do not go
il l'est surement tjr un peu mdr,he is probably a little mdr
ouais sunny j'avais oublie d'ailleurs qu'au debut il etait un peu desequilibre mentalement,yeah sunny i forgot that at the beginning he was a little mentally unbalanced
j'ai plus de fois detester sunny que cassie,i hate sunny more times than cassie
bahahah en vrai oui c'est un bon perso mais y'a forcement un moment dans l'oeuvre ou tu la detestes mais c'est pas parce qu'elle est mal ecrite,bahahah in real life yes it is a good person but there is definitely a moment in the work or you test it but it is not because it is wrong written
faut arreter d'etre aigri comme ca cass c'est un bon perso,you have to stop being sour like this is a good person
mais ca va trop etre un plaisir de revoir l'autre connasse de cassie aha non,but it is going to be too much fun to see the other cassie bitch again aha no
okok j'allongeais ca dans ma tete du coup,okay i was lying that in my head
il va jusqu'a l'entree dans la cite,he goes to the entrance into the city
le v fait chap,chapter v
dans mes souvenirs c'etait long de fou,in my memories it was long crazy
ah ouais si court que ca le premier cauchemar et tout le chemin jusqu'a la forteresse,oh yeah so short that that the first nightmare and all the way to the fortress
et jet leur met une vitesse aux deux,and jet sets them both speed
juste,just
surtout qu'objectivement et purement objectivement on s'entend neph lui a toujours mis une vitesse bref,especially that objectively and purely objectively we get along neph has always put him a short speed
y'a quand meme quelques centaines de chapitres avant,when even a few hundred chapters before
apres effie c'est pas au debut debut non plus,after effie it is not the beginning either
ninphis,ninphis
summy,summy
jsuis un zgeg depuis plus ans je pensais ca ecrivais comme ca faute de jamais me concentrer sur les nom des perso,i have been a zgeg for more years i thought it was like this because i never focused on the names of the people
mieux vaut pas y penser,better not think about it
c'est juste effie,it is just efficacious
pq tu ecris elfie,you write elfie
au lit sa doit etre difficile aussi,in bed must be difficult too
ah bah vu comment son gosse saute partout difficile de le punir et elfie vu sa personnalite elle fait ce quel veux,see how her kid jumps everywhere hard to punish him and elfie sees her personality she does what she wants
httpstenorcomviewmabay-aykutelmas-temizlik-cleaning-saubermachen-gif-,httpstenorcomviewmabay-aykutelmas-temizlik-cleaning-saubermachen-gif-
il lui fait un calin trop fort il peut en mourir,he is giving him a hug too strong he can die from it
il doit pas avoir bcp d'autorite a la maison,he must not have any permission at home
et son fils aussi force a lui,and his son also strength has him
jsp si ya d'autre saint spe full physique,jsp if there are other holy spe full physical
en vrai peut etre meme la sainte,in truth can be even the saint
un mec presque lambda une des saintes les plus puissantes du monde,a guy almost lambada one of the most powerful saints in the world
oe elfie quelle goat,oe elfie what goat
elfie que tlm admire et son marie que tlm oublie,elfie that tlm admires and her husband that tlm forgets
rigole j'adore le parallele entre lui et elfie,i love the parallel between him and elfie
sunny devrait jubiler rigole pour toutes les fois ou elle s'est foutue de sa gueule,sunny should gloat for every laugh or she is fucked up
force a son marie,force to her husband
au moins effie est toujours fidele a elle meme,at least effie is always faithful to her even
ca fait toujours plaisir de voir effie,it is always nice to see effie
bvn dans le club,bvn in the club
force a toi,force to you
bon bah plus qu'a relire chapitres maintenant,good bah more than has read chapters now
dieu merci,thank god
yes tkt,yes tkt
j'vais tout me retaper depuis le debut mais si au final ils sont encore dedans j'me tire une balle,i have been going to fix everything since the beginning but if in the end they are still in there i will shoot myself
dites-moi qu'ils sont enfin sortis du e cauchemar,tell me they finally got out of the nightmare
rassurez-moi pitie,do not worry
c'est vrai mais un jour ou l'autre ca va peter entre valor et song il va bien falloir qu'il choisisse un camp ou ptet qu'il compte passer souverain et solo les clans mdrrrrr,it is true but one day or the other it is going to peter between valor and song it is going to be necessary for him to choose a camp or ptet that he intends to go sovereign and solo the clans mdrrrrrr
honnetement il a plus tant besoin de cohorte c'est triste a dire mais tant qu'il ne fait pas le eme c'est vrai,honestly he needs a cohort so much it is sad to say but as long as he does not do the same it is true
mais c'est mal parti pour l'instant,but it is gone wrong for now
j'espere tjr qu'il rejoigne la maison de la nuit mdr,i hope he joins the night house mdr
mais jme demande si sunny va continuer son cavalier seul ou si il va retrouver la cohorte ou meme rejoindre un clan,but i am asking if sunny's going to go on alone or if he is going to find the cohort or even join a clan
je suis entrain de relire mes archives j'avais dit que l'oiseau voleur etait minimum un tyran maudit j'etais plutot pas mal,i am rereading my archives i said the bird thief was minimal a cursed tyrant i was pretty good
vivement que sunny reparte faire du sale ce vieu papi,that sunny goes back to do dirty this old papi
ah c'est vrai,oh that is right
c'etait un tyran sunny,he was a sunny tyrant
c'est ce que je dis aussi,that is what i am saying too
je parle dans le er cauchemar,i speak in the nightmare
jet non nephis possible mais a peu pret les meme circonstace que sunny les eux on tue des terreur,jet not nephis possible but little pretente the same circumstance that sunny the they are killed terror
oui c possible,yes c possible
le seul qu'on connait ca m'etonnerai pas que celui de jet celui de neph aient evolue sans qu'elle nous l'ai dit,the only one we know will not surprise me that the one to throw the neph one has gone without her telling us
pour moi,for me
non sunny va trouver une ristourne,no sunny will find a discount
kai est le seul avec sunny d'avoir son aspect evolue,kai is the only one with sunny to have its evolute look
tu penses qu'il va evoluer sans cauchemar,you think he is going to roll out without a nightmare
faut qu'il trouve comment evoluer,he needs to figure out how to evolve
et vu que son vol ne consomme pas d'essence il tempo,and seeing that his flight does not consume gasoline he is tempo
c'est dis que les saints avaient peur de jet a un moment ils avaient peur qu'elle devienne sainte ou ils avaient deja peur d'elle en tant que maitre,it is said that the saints were afraid of jet at some point they were afraid that she would become holy or they were already afraid of her as master
en vrai ellipse de ans sunny est pas loin du stade de souverain,real ellipse of years sunny is not far from the stage of sovereign
kai on top pour moi avec de la chance il a one shot ou juste il vole et la mitraille et l'immobilise avec ses ordres,kai on top for me with luck he has one shot or just he steals and the machine gun and immobilizes it with his orders
c'est vrai que ca compte,it does matter
oui jpense aussi,yes i think so too
pour moi des jet est clairement la plus puissante,for me jets is clearly the most powerful
les heritages d'aspect de jet et le fait qu'elle est pratiquement immortelles et tout les one shot,heritages of jet appearance and the fact that it is practically immortal and all one shot
en vrai si g a fait en sorte que sunny soit cree un lien avec chaque membre de la cohorte ca m'etonnerai pas qu'il soit devenu un ultra fan boy de nightingale,in fact if g made sure that sunny was created a connection with every member of the cohort it will not surprise me that he became an ultra fan boy of nightingale
ouais donc il est un poil cheat,yeah so he is a cheese hair
aaaahh la memoire qu'il a recyou contre le dragon je l'avais oublie,aaaahh the memory that he recyou against the dragon i had forgotten
donc,so
sonc pas de casque one shot pour la plupart,sonc no helmet one shot for most
ouais la fleche qui peux tout traverser si y'a pas d'armures,yeah the arrow that can cross everything if there is no armor
pq oneshot ya qqchose que j'ai oublie,pq oneshot ya something i forgot
tu as lu le chapitre,you read the chapter
ah je me isais bien,i was fine
ouais c'est vrai que les memoires rentre en comptent j'avais oublie ca,yeah it is true that memories count
off,off
si sunny maitre avait tuer un titan corrompu on se serait un peu perdu,if sunny master had killed a corrupt titan we would be a little lost
off screen ou juste je me souviens pas,off screen or just i do not remember
on est d'accord,we agree
je pensais tu parlais dans l'arc de l'antarctique,i thought you were talking in the arc of the antarctic
techniquement si les deux peuvent buffs ont des memoires surpuissantes de l'experience et kai peut pratiquement one shot n'importe qui a part souverain et saints a aspect defensifs,technically if the two can buffs have overpowering memories of experience and kai can practically one shot anyone apart sovereign and holy to the defensive aspect
ah excuse moi j'avais pas compris dans se sens la,ah excuse me i did not understand in feeling
non tu n'as pas mal compris le chapitre sunny a bien oblitere la bete hivernal,no you did not misunderstand the chapter sunny obliterated the winter beast
mais la differenterence qu'il y a entre sunny et les autres saints du coup c'est affolant wsh,but the difference between the sunny and the other saints is so frightening wsh
ils devaient juste vouloir dire ca,they just had to mean that
oui ils sont plus forts que la moyenne c'est sur,yes they are stronger than the average it is on
yen a pas bcp qui ont des aspects divins faut pas comparer,yen a not bcp that have divine aspects must not compare
oui mais tu vois ce que je veux dire saints qui en valent si ce n'est plus je trouve ca bizarre surtout que effie et kai meme si ils sont forts ils sont pas au niveau de ceux qui ont des aspects divin et tout,yes but you know what i mean saints that are worth if it is not anymore i find it weird especially that effie and kai even if they are strong they are not at the level of those who have divine aspects and everything
j'ai du mal comprendre le alors,i must have misunderstood it so
alors sunny a pas tuer la bete hivernal,so sunny did not kill the winter beast
tyris a juste retenu la bete hivernale sunny l'a tuee ya une dif oui ya surement d l'exageration dans le v mais pas tant que ca ils valent deja largement saints lambda surtout jet,tyris just held the winter beast sunny killed her ya a dif yes ya probably exaggeration in the v but not as long as that they are already largely holy lambda especially jet
en valoir ne veux pas dire v juste ils sont extrement utiles buff etc,in worth does not mean just v they are extremely useful buff etc
dans l'idee ou mtn le gouv a autant de saint qu'un grand clan majeur,in the idea or mtn the guv has as many saints as a major clan
il indique juste que cote gouverne les saints non rien a envier a ceux des clans,he just indicates that the saints rule not anything has envied those of the clans
apres je pense pas qu'il v,then i do not think he is going to
bien sur mais y a une differenterence entre etre plus fort et un v,of course but there is a difference between being stronger and a v
bah justement je trouve que dire ca decredibilise le rang de saint quand meme,well i just find that saying that makes the rank of saint more clear when even
meme si les saints sont ultra puissant t'en a des plus for que d'autre,even if the saints are ultra powerful you have more than anything else
moi c'est mon seul stress j'ai pas envie d'avoir un retour en arriere sur leur relation apres avoir endure t'en de difficultes,i am the only stress i do not want to get back to their relationship after i have had trouble with you
ouais mais sunny l'a dit avant tous les saints sont incroyablement fort et talentueux donc c'est hypothetiques,yeah but sunny said it before all the saints are incredibly strong and talented so it is hypothetical
bah on dirait bien mdrr,well it looks like mdrr
ah oui jpense pas sah,i do not think so
sunny en vaux aussi,sunny worth too
par contre comment ca saints en valent c'est bizarre quand meme,but how holy it is worth it is strange when even
que nephis soit pas en couple,that nephis is not a couple
au final sunny est libre et y a pas eu de mort que demande de plus,in the end sunny is free and there has been no death that demands more
il a de la chance le petit hahaha,he is lucky the little hahaha
et aussi kai est envie pour ceux qui doutait sa m'aurait etonne qu'il meurt quand meme,and also kai's craving for those who doubted her would have told me he would die when he did
un petit saint,a little saint
bon bah j'avais tord,well i was wrong
merci pour le chap,thank you for the chap
hahahaha on a donc enfin la reponse sur l'enfant d'effie,hahahaha so we finally have the answer about the effie child
merci emiliahappy,thank you emiliahappy
guide-lumiere,light guide
cest le chercheur de lumiere le nom du baton je crois jsuis plus sur,it is the light researcher the name of the baton i think i am more on
dans un question reponse g a confirme que le nom donne au baton de cassie cest le nom de loiseau,in a question answer g confirmed that the name gives the cassy baton that is the name of the bird
sa expliquerait comment il ont eu le nom de loiseau,would explain how they got the name of the bird
ba il va dans lautre sens,yeah he is going the other way
